date,headline,source,url
2017-07-24,ADANIENT Stock Price and Chart — NSE:ADANIENT - TradingView,google_rss,https://news.google.com/rss/articles/CBMiXkFVX3lxTFBxMjRNXzZTWjBjWmMwa3d0XzFXVm9ZaFVXcVpFdG1TajV5d2VRWXBEN2ZrNlZTdmFkVF9xVE1yZlFBWEJXSTdtcmM5a0kzZVBsRlkwWFBRWUpzMTA5YVE?oc=5
2018-09-06,Adani Enterprises trades ex-date for spin off; rebounds 15% from day's low - Business Standard,google_rss,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNMk9QVHRHWXNUV00wcGxjUHREdTVMUFp3M0VsNENTU296WWV2U3pwekdscGJxSHQzeWN6TktMdVdMaTlxc0xsOUxaaDZoRGFVZnZ0aDhtbXFnYlFJR2hfSEdWTnA1clNZZ0YzMVpkamJIX3VEVFIyY0RsaWNhV0F3X09wcGVMQWpVdVRfcWd6QjNHZmFBM0V5WTc0cUtnNjhJcnZwZkdkUUdJUkx2QW1RT2hpYVFTRjQwRms2dXhyMnp1WThsQk5mQ0lpQnQyUzY1TkRnOFVwd3jSAd4BQVVfeXFMUGFpMS01bU9VdktKMEIzQkE4YV80YTVnMTU1ekpCeDRmc2g5WE14bkpiM1d3bTBGQS03dFUxR0VaaFdDcEU3Z2RKbU5fTXY0UWlPYUprRi0xR20yN19FTHlSSGRGbVZyaFI1d1hyYnlDc2RMdU44TW1NZUpqS2NYeDNDendVOVhtdzVuamxZQ2NVZnN3QnYwc3lPR2xRZ1QxTXlSN1JBVzRIRWJKVVJYVDlNcnFvZEZ1LTNQcUIyV01RYW11T0c0cXN6ZFFwTEQ0dEJ6cWplOFRkc1Z0NmpB?oc=5
2021-03-27,Adani Enterprises Limited Financial Statements – NSE:ADANIENT - TradingView,google_rss,https://news.google.com/rss/articles/CBMieEFVX3lxTE1GTHB0ejI3Q1NMMnI1VVVpVGJqeTNIYm9sWHpnQi1QWXdaZDFaTXA4NmkxTEFad1FpYTdHTEFsQTRMT0JqOWZjR0tpRVY4WVZILUZxUnRKYnMxMC1ZYWdCZ3I0V24zMjE3alpkTGJNWlJvRkRiZmVDVw?oc=5
2021-07-15,"Adani Share Price: Check Gautam Adani Group of Companies' Share Prices at BSE, NSE - India.Com",google_rss,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPXzJzZC1pQmRFTm1Rd2ZCbng5cllmVmdadWdtZ2FRbDFxTk1RaUhFamlyMGdsamxkWDhSTnRkakxuY29RWW04TWdrclV6Z0FnUkxwTjdwSEJfN1Q5d0ZhY3BiYi1MbzdBcExjcDNxV1BhS3ZnSFYwd1BZVEk1WHhRWWdCdFRSRnNMNzFrS2VwbmdIaE9BWWI0WkJVZzNfbm1sZ0Z6RkdWTjFyWF90cmZKeHVadGFnNTdydG1R0gHAAUFVX3lxTE44Nl9fcF9nVDZqVzVKa0VEdWczSkN1M2E5UHdtRTJuclFiNFk2blpnTlBWTGJiTzI2ZFpWaGtKYjRfZUd2S1FUTl9EaWw1YXdzblIxYmtkV0pOTmdEcVpUbzdLeTVwRnVQQTZYM3FjejRXNzFveDZzbVVhN0h2Zk9YOHZ6S1BEanJTcGIwWGlIV1VHZUYtQjRHbmRlRG5zT0pNTkhKVFBQeldENVRUaUs4TzFGZGxQMHVsd29GZWZtcQ?oc=5
2022-02-21,Adani Group in pact with Ballard to manufacture hydrogen fuel cells in India - Moneycontrol.com,google_rss,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQc2N1QWlZMFlGUDFTY2lwbG1wNjFETHJXemYwdVktMkhhTEZEZWpGbXFMMU5JZ0xpTUVBZHJmczZIZ0xwSTQ0Q2JYSEh2aVRXdkRKUFVSaldoWmtSYVFiOENmam1JdGVhX2NkSmt4Q1VrQ0NoRnE5ZFZUZ2dWc2F3TTRpLXhmS2R2NXZ2ODJwZkRpNDdVenZLT2k2Z1pYd3VDamtTemZrX1ZKbzhwMTd4cUc0aEVicXNERDg2Z180LXFQV3JNQTUwMtIBzgFBVV95cUxOQ09UNlZod01QNGUyYklqVmkwM2hYZEJQNTI2VW96bXFFb005a19QWlZ5TEhDemxzNml5ejEzZFo2NDJDaUtOOFhxanRLQkFfVi1VOTlFNGxGWkFSMTUwc0RXMzJFTHZ4TVNJNkhMczY2b09TZDc0Z254SWtmTm9NLUdTODc1TXc5OEgxS1htaHpnUmR5VTl3b3puUzhJQ25rRGFuaTJFbHVRbS1lZHg5NDU2cGdaTDFhT2s5WjNIVXl3MG1PSkJYUXdfLW93Zw?oc=5
2022-03-24,Adani Enterprises Ltd. Share Price Today | Adani Enterprises Live NSE/BSE - Value Research,google_rss,https://news.google.com/rss/articles/CBMie0FVX3lxTE1WZE9fajZjTk9JZjNqRTZVZ0h6NHFsVW80cHlfVmltd2lwNjZBSjR2UXpLX1Qxd1B2S0NTWjMzLVY3VGtyRmRfSTJ6Q1ZuUi1hV0IxQXlUYklJbktpVlZpTTZLeVFUMzRjMHcwcV9nRTRiakJtTVNCY2Q0NA?oc=5
2023-01-24,"Adani Enterprises Ltd Share Price Today,, ADANIENT Share Price NSE, BSE - Business Today",google_rss,https://news.google.com/rss/articles/CBMijgFBVV95cUxOWnlCSENZaEpGT2hERWRVLUF1T2R5RmVhZkFsek5JTzVsUDd3bU9KejhFako4VXE0MWdUNDhlS1BwUk5meXhFcko3c3k0UHk2V2l2OEZUdk9NdWZfNUNZcjAwMjdwQWJrNUVFcEItRVBwY1RvR3NRbjlLT0ZCM29pbUgwLXZNMlFCbTZsR3FR?oc=5
2023-02-02,NSE puts Adani Group firms under the ‘additional surveillance mechanism’: what this means - The Indian Express,google_rss,https://news.google.com/rss/articles/CBMizwFBVV95cUxORE9XUUg4QV96QzFTTklRMlU0cXhEQTFRd0Vxc05pbGNuV1JmamIxRVNKeWJVWGdyQmdMSzhUWVZ3aFIxMTY5MWY1bHhfSVA2bGFnc0dBMnFUZjlBR1dyVlI3cFVOZVR0eHdDUkVwVkw4cUtHeF9BNXBfNzJhNXJuUlFMQ2J6amhGYlZLMUdmOGdqUVZOdVdMZllsbUhwa1J3eWItcDJwUjlBeUZSNzhKZFRDakJfeTFzRU0zWDhFQjVLeWJzZ0ZTRkcxcnJMTFHSAdYBQVVfeXFMTTB2dzhSNU9TVHU5UDl4UlBkalBQNXBtQU9aVTJWQ08xTEFFbUhnTUxUanVRZnVCUTNWc0EtUGY2Y21Ed3NzdHlicnBURHRnTkN6SEJYbVNDNDMyR3QwblBWZHhOUlVXbUEwb0Z5S3NESDRpT2FzaGJxaFBqT2hUZTBOOElvbEgwUlZ1ZHJkVnItZHZnSGt6cENoZzJNZVRZbGVsdzg1RDd0ejRndjY5ZERGX0dGbUlkR201dGk0WlZFOTJNZ3BJelh6a3JCZEpHMWc5V0dyUQ?oc=5
2023-02-06,"Adani Enterprises, Adani Ports And Ambuja Under NSE's Additional Surveillance From Today - NDTV Profit",google_rss,https://news.google.com/rss/articles/CBMiygFBVV95cUxPVThGcHdOaUo3NEpJb3l3aXhUUDJRYTJUMmR6dmtwcFFFQmp2YkxFTUhGQW1JbVNCN1pLV1Y3M3FqMmllRkx3WmtWNDAxal9xdWFaOE9pdHlfOUxfUVV4NzlnaTFKOEJFVmxST0pwSGFLZzhkdmJfSl9MUGdfNC15UXZ1eFZOR1BHVkg2MG5GRm9jejJOaThwaXVEam5STXFTV3BLQk9GY2pEYVNjejhzcDdmNXNncmd3eGJjSWdfSDZuVWdraTZMUGV30gHSAUFVX3lxTE1VVU1xWXhoMnVNX3o2VENRZzFsSlhzZG5JdDN3bHpjVlFwOE93Ujc4bS13cDRZSC1Kem1OY1p3b2VOQjAzTEVfSXZSdzV1VzZhMDdscURNTWU2MU1tcTRQcWNwTHFZcTZxVkpIWnRWZGRsQUVZU1JOWW91VkhpTll6NFJYRldLeHRuekhwc1A5alRud3ZzMzNYOWtwNTNOUlZrMDBCN3d4dkExUGVuQVlveEdwaDV2aFZmOHF2TGM4TEotTXlPNEkzNUxSWjJrczNNUQ?oc=5
2023-04-24,"Why Adani Enterprises, Adani Ports stocks in focus today — explained - Mint",google_rss,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQV1NIdkJDRldXQXdSMWlHOFFzZWwzVHYzdEx0QVdPZnhFYnV3OWZ5dmRLTTQwMXlFamtjR3RBZHIyU0NWVFo2M09WN0JadUpPMU9YOW5LNDFIUjV6cDl3OExQeWxwSUZtNVVUNng0RUtJbEs5aUdmVW9fNUVRSjQ3U2dUSTNHcm5aSXllaDBUMEhSMnNzWlVpZ1pHT1RqZFFJcF9HTWZLUGhFb1NRd0RxWkY2dHNtNlZWQ2w5NzZfVjZUYXNLV2RGTXRGc1E1OVZN0gHWAUFVX3lxTE8wS000QmxWMzZDeUpTNlBOWm05cEsyM3pTUHRkY0J5OUhINUg5UHRUNVpsN19fRVdlVjAzTGs3NkNzUmlhVEp4amctbDRCREVGbVhUVFlocU5PSm84eWZQMjRvYTQ3NnVRZ0tOcWdJU0dmaUU4MV83b3BrWlpXdGdBWm5rQjk0NlpERXgxU2EyZ2VoeTFNZUxET1hBellZVjFqMV9VNDVoRkZUeHA1c3IyaUJUdVNqQ1BvTkVNaGhHOHdtMWh3d1VtbkFLSjJRN3J2OWlNZlE?oc=5
