date,headline,source,url
2022-02-24,"Apollo Hospitals replaces IOC in Nifty50 as NSE revises eligibility norms, swaps stocks in key indices - Moneycontrol.com",google_rss,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPa2lrMXNhMzBQQVA0bHA2N0QwdmctVnFWeF9mYjI3ZHhqUlhCWk1pREhoQWttbFpZaFdGbFJPWFNaX3RjNHA2T1dTcmxveURqc1ZOT09TV2RaLTZMdDhhV3ZieVd2emZ4Wkpkckkzc2FZLUE0eTByNjlKQUUyTElVRVhhLU95aVNCLVZqVUJwdWxvdHhyMk0tdVJnd0ZlZ0NXV2NnS2xsSklwcFZrRVFrdkxlbFlpRzJTX19wcklhLThPX0JPOW5ZcXRZMWZ0TFl3YVhrNXFn0gHbAUFVX3lxTFBEY3gtaTdvOUwzbFpSMTVpRTVhVVNSVl9uLUhzUXVnZFBzdkFDU1V2WndrV1dITTdqZXlQdGN4QTFpb002S1Z6U21zUE9WamR3VlpMVkRIZWhXVmIyUURNSUFnbU1FTUliOGk5UzVZcmZIQ2RzUUw3MjRPRWhQN0duYm9KWkJpS09HQXZkc3pQZFI4Und0THZlenYtY3BQUXhyVnF1b0hORUVNMmdfRXlNcHdZVjl6UnNPS18tMlNvLTk4ZEd6RzR5eDFTWDNkXzRRNUg1RG4tdUk5cw?oc=5
2022-02-25,IOC to be dropped from Nifty 50 from March 31; Apollo Hospitals to move in - CNBC TV18,google_rss,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOTk9lT2h4bUYwM1hhZGJJWWl5QWNKRFFSV24tc0Vpd2Y4Wm9sUnUwY3pEMl90bU95Qkdwc2FlWnNMRGg1UElvTWNtREo0akFTaUVQOGVWUVNEaFFtTTlRRTE1TmZkQUF2Nkp3TEg3WG1xSXQtaFFCNWF1djFJcTVWODFtaXF5bVFTenRGUWp1TnlrMGxGS1V2UUJwRmV4Skxpc1gzZlJiWXhPd2dNTGtHUjV0Rno3RUxCa2xUaDlGSnphVEXSAcgBQVVfeXFMTWRyVUJnV2RCTnpLUXBfRlRGallWa0RJanYtcEx5eXZILUw2ZmJMVzExS1ZaYk5Ga0lCQUNQRW5qc1dqRUlhcHJOYWVzbkhLOHl4TG1PdkYxR3p6UmlCWXhwT0ZZaFBjS0VDWnltNjM5N1pvQ3B6X0JuZjc0X2s4TjNFRFVZd1RyUUl3TkwtTkJkdk52SkRyek14N0xJcEw3aVFMb2JicU5RUXdHYnExSTBmcXppcDE4SXFfbVNIb25RbDg4Ui1mVnA?oc=5
2022-02-25,Apollo Hospitals Enterprise to replace IOC in Nifty 50 index; shares rally 8% - CNBC TV18,google_rss,https://news.google.com/rss/articles/CBMixgFBVV95cUxPeFE5Y01Td2IycDBRbUZ1aDNHb1hEdTdxZjdDalpaajBxdWpucXBnTTZHenkzRkpTZ0lWdXlBYjhSQktrdTFlYWNhQUZMNmxXY0YxQ1BHbVFycmJjSll3WlVXb0VSaXNtZFJveHljenBzTVlvN1g5ekFCX015TnVVb3k0MkJkcHlVRHB1am85UzA5WXNsX3BiMlhIbERwUE41MldzNlF6YUlNekJkdFZ4Qm1Mb0c5bDRzVFdGUjlkUXZ6NHdEa0HSAcsBQVVfeXFMTkQwRV9yV0ROcDRwNlV2Y2cxZzA5MTRvNEFBY1NKUVJHUWFsMFN6ZUIyckwwME81WTZFTDJuSlhMd3M1cTFNLXdxX1ZvWnZzVmtEdzBnVGdIc1dpbzJUWmV3dGhlX0FuSlNqUkNpRFVGci1ET1V4T1o5dFktTXZGRWVwMUcwTmkwV05CTWFLcHpvWEt1TnFEYTU0cWhlekU5Y2FqMnFXYVhhel9zeDFYdDl4cjBxczF3dkVRbFozSGlxbWZCeUlNU2dLWW8?oc=5
2022-06-20,Apollo Hospitals – Changing with times - Business Outreach Magazine,google_rss,https://news.google.com/rss/articles/CBMieEFVX3lxTFBESnFpa1RtQ2NITkhvNUVMUGFBTF9ieUU4NDdkaXF0WlJrdzhtcVk4SVE5bUFKS29MNXcxVnBQQVpBRmswUUZGVGhUc2tteGhvNnktX2VPVkVKeWhFaFpKSTIyN3cySWk3ZWhRN3lveVVWUDdCc2JPQQ?oc=5
2023-04-26,"Hot Stocks : Brokerages on Bajaj Auto , Nestle India , HDFC AMC and Apollo Hospitals",gdelt:economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/hot-stocks-brokerages-on-bajaj-auto-nestle-india-hdfc-amc-and-apollo-hospitals/articleshow/99776403.cms
2023-05-22,"Need To Uplift Tribal Community For India Progress : Upasana Kamineni Konidela , VC of CSR , Apollo Hospitals",gdelt:swachhindia.ndtv.com,https://swachhindia.ndtv.com/need-to-uplift-tribal-community-for-indias-progress-upasana-kamineni-konidela-vc-of-csr-apollo-hospitals-74484/
2023-05-28,"Q4 Results update : Q4 results this week : Adani Ports , Adani Transmission , IRCTC , Apollo Hospitals and others",gdelt:economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/q4-results-this-week-adani-ports-adani-transmission-irctc-apollo-hospitals-and-others/articleshow/100566609.cms
2023-05-30,"Stocks in news : ITC , Vedanta , Adani Ports , IRCTC , Apollo Hospitals , Mankind Pharma",gdelt:economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-itc-vedanta-adani-ports-irctc-apollo-hospitals-mankind-pharma/articleshow/100601066.cms
2023-06-03,India Apollo Hospitals to sell stake in healthcare platform,gdelt:zawya.com,https://www.zawya.com/en/world/indian-sub-continent/indias-apollo-hospitals-to-sell-stake-in-healthcare-platform-l7qnupb7
2023-06-04,Rating : Buy ; Apollo Hospitals : Boost to pharmacy network expansion,gdelt:financialexpress.com,https://www.financialexpress.com/market/rating-buy-apollo-hospitals-boost-to-pharmacy-network-expansion/3113189/
