date,headline,source,url
2017-04-19,"Bajaj Auto Share Price Today, Bajaj Auto Stock Price Live NSE/BSE Updates - The Economic Times",google_rss,https://news.google.com/rss/articles/CBMihAFBVV95cUxNNXNaQnBWbW1YTVdvV3ZxOUlPUTZUUm4yV2xPMWpmb1ZvUzB5N09mNjlkSHY1dmp0VmlHUVhCenBOLUx6eGswWVFWN0VLSVBiLTZxSWtUT2JDN2ctTUJqZzFHRTQ3OGxjYXBaaHVRcVFLcnJMNl9KZGhZYW1zYVB4TW55NzQ?oc=5
2017-07-21,BAJAJ_AUTO Stock Price and Chart — NSE:BAJAJ_AUTO - TradingView,google_rss,https://news.google.com/rss/articles/CBMiYEFVX3lxTE9ZOWF3TWFGNjlIdklvaTBXS3J0UHJQdHJEUHJNUTBzZms5alpPWVpCOC1oTjI2SnNhd3NOU1BOQ09YRVFTSHhhUkF6Rk4yUi0tM1dYVmFhblRrMk5aSzdYeA?oc=5
2019-10-23,Bajaj Auto to declare its second quarter results today - The Times of India,google_rss,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPNkFMN0hoeXBXaEpqTFBpbjRPcFpLeW95V3FrNDRRcERkZl8xSWJQdzhBRmRIZ0ZhREhsQUpkMW1vaFZBT21yS1kzQk1nMzRTZzVCVWE4STdMZUtQZlNHQTA2Vk9KbVVKVWl6TG83Nmp0YUxMUEhEZTE4TF9VMnpKeE4ybGdnTUE3MWNPVmMtbzhFeVozblo5Sjk5c1VoQmhMMlo1M1J0VUFMdVRhSnNyY2FENENHd0ctOTBINC1CS1FSWk5WSWNwTm54bHk1YnZtQlZUNWJR0gHbAUFVX3lxTFBCTU84ZUZUWUxlS3gzazE3ZVJGWjZCZFIwNG9iZURKbkhyZVY5dk9ucGUtQWViSDVGOGYxVzJFaVhQanFiUjZfa2I5eWc1QWN5Wk5Kb1B6d25YOHdQNEpYZFVqaW56T2dESFdINHBhYXRzSWRRbGtnZmlyWmEzdnlRdGcxM2t1eXRDYWpUNEtZdVNpelVBc25tU0hybGk3LTJQSWhMX09EaE9WN0o0SGR4Vm1KQjlISl9kVXNmUkFyQWI3OS1hY3FHN3ZBcEZkWm9ETlEyLTc3RkYyQQ?oc=5
2020-10-13,BAJAJ_AUTO1! Charts and Quotes - TradingView,google_rss,https://news.google.com/rss/articles/CBMiY0FVX3lxTE5Ta1FZV2dsNW85bUZFR3FlRE9wby1Da1ZiOXJQdDhxVmZpNkcyOW10OENPdkZXVDVFY0RWeGgxVldiRU1kY0JkZmlxZ2dKb0U3c2pVaXVUMDBtWUpfTHdLWTlYcw?oc=5
2021-01-02,Bajaj Auto becomes first two-wheeler company to cross INR 1 lakh crore market cap - ET Auto,google_rss,https://news.google.com/rss/articles/CBMiygFBVV95cUxQUGoxb2R2am40QVc1djZSUlR0NVRfX295S3NZdzl1eVFKZ3k3R3liWXV0ZkJCeFlTMy1YZkZqX2pZMU5zNUREYlI1eE9Xa2hDRkpUZlp2WXJFRjd0Q3hGUjFLOTVIQ19vY2hQZUtsVmlWbGxqRTg2SnpRYVYzMjEtWWYtZEFRbHl0LW1DLUhQcUduR29UaXlGeTRhNEE2QUF3cWhxYnBJNXFMMHhlemF5aDlYcnVIX01jbkFINnNPWlBuV2RZUDZsSTRB0gHPAUFVX3lxTE9PU0U4YTlFRVl2andpRDhHRjNZOHlNQVFMZlcwbURVSEVyczUtMUZ3ZVdsQ0Jtd211RlpXOVotRzlLcDdlX3Rla2RTYUhnMHNBSUN0Zi1GdkFqZWxGOWJ5dVYwWlV4clVOQWtybllvcTRlRFJ4MUQwb1pWOHZpZU5Uc0dPaFF5U2ZMZVpVSkdyUWRnbkxyUTJMYmh1Q1BTY1FNeVl1WWo5Nl9EZUVVVGtHSUZQWVRrWnFMTjZzTTlQRW5tVHBkMkg4N0tsNjZBbw?oc=5
2022-01-08,Bajaj Auto Share Price Today - Live NSE/BSE - ICICI Direct,google_rss,https://news.google.com/rss/articles/CBMibkFVX3lxTE42SGZXc0pjVXVfTC1rZFVGWGxmUmtLTlgyNnVwdEgycDZ2ZGJKd3VfbEI0cXlFS3pSZ3U1cGE1YXBmUWdlYlRYdVptMFdtM0Z5VUJTWWxGYnNsdVZUdWpKTUlHNW1QcDU0NnllTF93?oc=5
2022-03-24,Bajaj Auto Ltd. Share Price Today | Bajaj Auto Live NSE/BSE - Value Research,google_rss,https://news.google.com/rss/articles/CBMickFVX3lxTE1Icld4WE1EZFktbnF3akNmR2FyWE5scUFSQjdXVlkzMmdZNDBXWE1uenRPb2g2WEZTMG5lRENydk5MT0F4NlNUb2dJdktWWlZ4czJkZXFpTHFkY0xHem9HSWhrUENFQTlFWmFzYWVZR0ZyQQ?oc=5
2023-01-23,Bajaj Auto Ltd (BAJAJ-AUTO) Share Price - Business Today,google_rss,https://news.google.com/rss/articles/CBMihwFBVV95cUxQbHF5QXNXQUM3c0JTR2dscDFFN2pRN0o0VUdOc00wWWVldXhUaTJQUTUza09QNEVxalhTQkYzQ2F1UnJHWW9LeVZRWExSS25RRjl0WENad1Z0U0ktcUNXdllsVy04QXdqVlBBdEIzNk9KdHBQb2ZfakEwTkkzbnRtRm1WZnZKdkU?oc=5
2023-04-24,"ITC , GCPL , Bajaj Auto among 40 NSE stocks to hit 52 - week highs ; 21 touch 52 - week lows",gdelt:financialexpress.com,https://www.financialexpress.com/market/itc-gcpl-bajaj-auto-among-40-nse-stocks-to-hit-52-week-highs-21-touch-52-week-lows/3059778/
2023-04-25,Bajaj Auto profit beats Street view,gdelt:livemint.com,https://www.livemint.com/companies/news/bajaj-auto-q4-net-profit-dips-2-5-to-1-432-88-crore-but-sees-ebitda-rise-215-basis-points-to-19-3-on-higher-sales-of-premium-products-in-the-125cc-and-above-categories-11682441306062.html
