date,headline,source,url
2016-01-04,Grasim Industries announces merger of Aditya Birla Chemicals - Moneycontrol.com,google_rss,https://news.google.com/rss/articles/CBMivwFBVV95cUxNVjc4c2c4WG11LUNhQWZzcXdpS1dqbFczMEJKWDRlVzYwZGVjOWhwQ2NCN3d5UWZSY3o1UDItYko0WVVKeHZwWFZ1dGRDaml2eGxoTkx4dVd3Vk5TUmpkeFZYRGNBVmlwREdhVGoyMl9YR1dkY2xIRXVfZ0Qwak9VaHk4VGxQOUk4Tm5jVW5mNzlHcVFjbkNtS2p3d195VnlKVDNsaXl0QW9JTmtzZG9YVHp3MV9BWmlQU2R3OWdTONIBxAFBVV95cUxQMm9SbXNnX1lmby1TUmJUX3VxZ2xuSWpzN0ZYVzNnS1JZWHN5TEtwOGFhZlNrX1NqeEZLdjI3LWQzNE5JeDhsbGw0eUlxMWxtNWJHcUx5RG03Wm1PX3VDVm1fVDZnRFdHZFIzYldpQjdkUmpXS0xVMWdBZEJUb1JwU1F3QnZTeEg5b1hPUGpjWHM2dXpoaFZFTEhPRUR5SjREUTJHTG1aZWdIdGE1TDBfUXlaSE9JUGJsTG9tcmljX0RVLXNL?oc=5
2017-07-21,GRASIM Stock Price and Chart — NSE:GRASIM - TradingView,google_rss,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1zWXBkRmwxSzFDbmdSV3c0bXRqNHhvbDF0ZWlWSTAxUzRCMnBpUjlBaDRsT3FINnV6WklOQUlseEFSWVE5aUxOdXVxVGJlRFhRMkVFVGk3MC1hTUE?oc=5
2021-03-24,Grasim Industries Ltd. Financial Statements – NSE:GRASIM - TradingView,google_rss,https://news.google.com/rss/articles/CBMidkFVX3lxTFBDTE9rQjAxS2pXYWMtTUFBUFhwQ2c5UVVTbi1yb2pXSUxkUGtSQjFXRWVtc1dqTWotLXo4aVBZU2ZCZnRhaEZpSDNMREtnai1oTjdmNEJ4M0dZZ3Q1VHljWjdDZnFRTTlfblBKVWtkdThFTE4tcEE?oc=5
2022-01-21,GRASIM INDUSTRIES LTD Share Price Today - Live GRASIM Stock Price for NSE/BSE - Upstox,google_rss,https://news.google.com/rss/articles/CBMibEFVX3lxTE1xM2g4RVh1bTRWRWZnRU4tYXNnR0JfOFppb3Jfc3pPMGNrMGYtV1lORG41aXZqVldaY0kwMDg2bTBleUJ1UXp0X0N1X1JKaE5tYmo5OFhRd3I3SEpHZHp4a1U0bXNya21ycmRkaA?oc=5
2023-02-14,Grasim Q3 Results: Aditya Birla group flagship firm misses estimates with 51% fall in profit - Zee Business,google_rss,https://news.google.com/rss/articles/CBMilAJBVV95cUxQUVZGYldRMkg0X2tqOFR4YVBsbFQxekNMbnBoc0l0V2pjMFhvRWE3djJtalRjc2FWU0pwRTd2ZVo3Z3c3blpFeVEwWTNQMnkyY3F2MU96Z0RtcWlkVlBZcEhwRjc0QVhQZXNDWVB0S05EbFptdVJLRFlkX1lDcVRWUkRLYi03MFEzUFNWRWhlRENRWElpMFNLOWF0amVMTG9LczZIaV9HMkxOYllFRlcxUC0tazlIcVpQX053X2w2OGg2ek1hNllBN3A0ZkhreWlXNVR4MnR5UmpVaFBWT09GZ3VjQmFWTjFQLWxDMmxtZWt2cC0xanhXTjA3SUlkZ2RZWFU2YV9pYmdFT0VhVHJoSGFHVko?oc=5
2023-08-11,"Stocks To Watch on 11 August : LIC , Hero MotoCorp , Grasim , Adani Enterprises , Torrent Pharma , ONGC , GCPL , Nykaa , Info Edge",gdelt:financialexpress.com,https://www.financialexpress.com/market/stocks-to-watch-lic-hero-motocorp-grasim-adani-enterprises-torrent-pharma-ongc-gcpl-nykaa-info-edge/3207068/
2023-08-25,Grasim aims to be 2nd largest player in decorative paints segment : Birla,gdelt:business-standard.com,https://www.business-standard.com/companies/news/grasim-aims-to-be-2nd-largest-player-in-decorative-paints-segment-birla-123082501062_1.html
2023-08-25,Grasim aims to become 2nd largest in decorative paints biz,gdelt:thehindubusinessline.com,https://www.thehindubusinessline.com/companies/grasim-aims-to-become-2nd-largest-in-decorative-paints-biz/article67234835.ece
2023-08-25,"Grasim eyes number two position in decorative paints , says Birla",gdelt:thehindu.com,https://www.thehindu.com/business/grasim-eyes-number-two-position-in-decorative-paints-says-birla/article67235430.ece
2023-08-25,Grasim aims to become 2nd largest in decorative paints biz,gdelt:thehindubusinessline.com,https://www.thehindubusinessline.com/news/grasim-aims-to-become-2nd-largest-in-decorative-paints-biz/article67234835.ece
2023-08-31,Grasim Industries : Sustainability ESG Data book 22 - 23 - Today at 11 : 58 am,gdelt:marketscreener.com,https://www.marketscreener.com/quote/stock/GRASIM-INDUSTRIES-LIMITED-33647063/news/Grasim-Industries-Sustainability-ESG-Data-book-22-23-44745621/
2023-09-14,Grasim to launch paints business tapping into India booming decorative paints sector,gdelt:moneycontrol.com,https://www.moneycontrol.com/news/business/markets/grasim-to-launch-paints-business-tapping-into-indias-booming-decorative-paints-sector-11366581.html
2023-10-16,"Grasim Industries to raise Rs 4 , 000 crore through rights issue of shares",gdelt:business-standard.com,https://www.business-standard.com/companies/news/grasim-industries-to-raise-rs-4-000-crore-through-rights-issue-of-shares-123101600932_1.html
2023-10-16,"Grasim to raise ₹4 , 000 crore via rights issue - The Hindu BusinessLine",gdelt:thehindubusinessline.com,https://www.thehindubusinessline.com/markets/graism-to-raise-4000-crore-via-rights-issue/article67427101.ece
2023-10-16,"grasim industries rights issue : Grasim board approves raising up to Rs 4 , 000 crore via rights issue",gdelt:economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/grasim-industries-to-raise-481-million-via-rights-issue/articleshow/104472483.cms
2023-10-17,Grasim Industries Ltd to raise Rs . 4000 crore through rights issue,gdelt:equitybulls.com,https://www.equitybulls.com/category.php?id=338943
