date,headline,source,url
2017-07-21,INDUSINDBK Stock Price and Chart — NSE:INDUSINDBK - TradingView,google_rss,https://news.google.com/rss/articles/CBMiYEFVX3lxTE5IWU1UbFE5WTQxaDlhM29xam9jd3EzZGRDM2tXTDJoLWxrWml6alRLWHRFYWEzcmkwZkl6QXNNRFE1ekxBT3BtR0ExRTNnRDlPRUFIeXBWbzVndzdUNENUaw?oc=5
2018-06-05,"IndusInd Bank gets NOC from NSE, BSE for merging Bharat Financial Inclusion - Moneylife",google_rss,https://news.google.com/rss/articles/CBMiugFBVV95cUxQSUk4ZEFYS1hic2lvdTJhal81TjRhQ0UxWExCLTRITVg1cUs2dDNqZGpWSTlUbnloZnVUaWFOOFVNVmNkNXVtRGttejJZRTdrcXVFXzU3b0FzeTBMY09Jamh4WUVRS3doNGxDTzlldnd2M0VqVWIxcDVsLUZmamYzb0hTZzdiSm84d0lzUFFYZFo3MWFMcHZ0dWcyWWxqUHJ1MmxiR0oxNFZkam1BV0w4ZTBYOHB4dGNDZEE?oc=5
2020-08-25,INDUSINDBK1! Charts and Quotes - TradingView,google_rss,https://news.google.com/rss/articles/CBMiY0FVX3lxTE05VlhndmlxWjUzTFlVOWlXclRRUEFWRnlGR1NOLTR1S1dVNTNlR1F3R01LVWdNZU04ckl3dG9hNjNmNWJ5b3NFVGNoQ093VW5jSzhqdTRfSEd5SnBXVkQ3RE5ORQ?oc=5
2021-09-24,Indusind Bank (Nse) | Stock Share Price Live - MarketSmith India,google_rss,https://news.google.com/rss/articles/CBMidEFVX3lxTE5uQzI1VGlpVnE2bU9RTE9CdjlSMW9nd2xHSVBUNWpZVG53dUlqeDhyX2JqLWJ4MUlIeEVhTlBWOGMwdWxQWVBFYXNNdTRsR2NOMlo4MnZNV2NQbXVkY01MQlI0eXZCdUVDYks2M1FnSTJ4djdU?oc=5
2021-10-27,INDUSIND BANK LIMITED Share Price Today - Live INDUSINDBK Stock Price for NSE/BSE - Upstox,google_rss,https://news.google.com/rss/articles/CBMibEFVX3lxTE5tWVVkR3VNZVlTUnVsRUhCNENPSXVWTElhYXJ6OTVRMDZEWWVYUW95Z2R1YmlMN0NlWkNYQjhIalV1elBPbjd3OTVsXzhWRDU1b014VmxKTWFTal9YX05iNUxzY29CbkJYOG1kSQ?oc=5
2022-05-17,INDUSIND BANK LTD Option Chain: Live NIFTY/NSE Option Chain Price Chart - ICICI Direct,google_rss,https://news.google.com/rss/articles/CBMihAFBVV95cUxQeHFqMkxjUGpieVVyaEMtZV9XclR5S0ExZUZ1R0hBSEhWeEhfTWdHeXREcWZ4UFJfZW1HX1hVRHJFSnhtOHFPQ0hvTjNfbHpKTW1xNFNtX0poUVlXWG5aTnlaOU45TlpGaW4waVZxMVhvZS1vU1ZMbTBhbGNYSEhCMmlsS1Q?oc=5
2022-08-16,INDUSINDBK Forecast — Price Target — Prediction for 2027 - TradingView,google_rss,https://news.google.com/rss/articles/CBMibEFVX3lxTE5wczNIZEhzZ2M2ZVRSM1praF9SbjNBdEV1MWVCM0VmMHRSN3dOM1RDaDBORVlKRmhtMlZoWTd0VTJ4MlZxM2M5Q05fSFBycU1KbzRQMllFaWZjeE81bElzQUw5M1dVSnh2Uk5FcA?oc=5
2023-01-23,IndusInd Bank Ltd (INDUSINDBK) Share Price - Business Today,google_rss,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQNDFRRlVLeUxTdmZMTDFnZC1wUzJGNVRURWQteWd6OU5Ha1pFQXlfaHlhejNyTGdPTXgtcWs5cG5qR3hvQnd2U1drSlZDSVFfTUhFUkdyQlNZbVRjeFVzd3lRa3RhRVc0V0Yxc19hZFg4T2RRay1wQWNwYm0wVnc4dERNSTZrT296cGFV?oc=5
2023-05-04,IndusInd Bank likely to get added to MSCI during Aug rebalancing exercise,gdelt:business-standard.com,https://www.business-standard.com/markets/news/indusind-bank-likely-to-get-added-to-msci-during-aug-rebalancing-exercise-123050400238_1.html
2023-05-08,"stock recommendations : Hot Stocks : Brokerages on Britannia , IndusInd Bank , Bank of India and Aditya Birla Fashion",gdelt:economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/hot-stocks-brokerages-on-britannia-indusind-bank-bank-of-india-and-aditya-birla-fashion/articleshow/100061737.cms
2023-05-10,IndusInd Bank rallies 2 % on upgrade from UBS,gdelt:moneycontrol.com,https://www.moneycontrol.com/news/business/markets/indusind-bank-rallies-2-on-upgrade-from-ubs-10558521.html
2023-05-10,"Sensex gains over 170 pts , Nifty trades above 18 , 300 ; IndusInd Bank , Tata Motors gain",gdelt:indianexpress.com,https://indianexpress.com/article/business/market/stock-market-live-sensex-nifty-adani-group-larsen-toubro-8601066/
2023-07-19,"IndusInd Bank shares , Nifty best performer in a year , scale pre - Covid highs . More upside ahead ?",gdelt:businesstoday.in,https://www.businesstoday.in/markets/company-stock/story/indusind-bank-shares-niftys-best-performer-in-a-year-scale-pre-covid-highs-more-upside-ahead-390433-2023-07-19
