date,headline,source,url
2019-08-28,Nestle India to be included in NSE Nifty 50 Index - Mint,google_rss,https://news.google.com/rss/articles/CBMiugFBVV95cUxQV082M2hIaE9wT0hXdWJfZ092R0FnWjZIOHN6c1E4Q2ZwZEZxTTZXLTRzRlI5d25tRTNHWU0tbEJ6bHQtaVNkQjFrR0phZWlYNGJKY2tyZjB4RjM2VG5KZ1pVUDhBcFZIU3drWm5HY3BNTUc4Q0V2Z2RCbFpSMzMzZjR2alBsbTlFTnpxN0QtTWtRQ01LTG1PNVRwVl82UnJRTlFtVnpSTWJRZkFpMV92eWVNSktJMjdZemfSAb8BQVVfeXFMUFBnOU92MWo0T0hGMnJLVjh2THpiS0RoSzNFU3JaZEFleGlEd05oa1lwanp0d2NuT3pmLWdwNHdRazB6N1JZb05XVThtNGlITmFyWGhsWVh3NWNNY1ktS1JxQ011b2JVakQ4ak1mZXpGNWMzcFR1dHNyVU1QYXEwajY4eW81aFQyRUo4ZUFNT3cxNFdkeU45WVAxc1JlMVlHeFF6Y0gzdTk1MUF1RXZZS0RDVllIZHBvNjBSOHZNQ00?oc=5
2022-10-20,Nestle India surges as Maggi noodles maker posts highest sales during a quarter in last 5 years - Zee Business,google_rss,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPUmp3c19pSVIwRDdyRkFyZ1VUbS1ITzlTcVZJV3BfNURra0dpUFdfTmdENDlSaGNNWUo2dnZGS003aEFfUnJrUkFXZlYzOHNlbHkyV25ZazBYVzVwUXJJUnRreElDNkd3SjA0cEVsTGpQakVCTGhnbUNSLW5ZR1c1QUF3NEYxX1BlVzluWTNfQWRkd015ZlVvVzIwSmItTjBTTmxwRU9ibmRLTDl5cHRBRm45T05wc3pKSmp3WEtKb2lTZUdJcGxHbUFaTnVhX09TN3JkV0lrdFlPZw?oc=5
2023-05-21,"GreenLine partners with Nestle India for sustainable logistics using LNG - powered fleet , ET Auto",gdelt:auto.economictimes.indiatimes.com,https://auto.economictimes.indiatimes.com/news/industry/greenline-partners-with-nestle-india-for-sustainable-logistics-using-lng-powered-fleet/100393024
2023-05-23,Indian market offers opportunity of innovation for Nescafe : Nestle official,gdelt:business-standard.com,https://www.business-standard.com/companies/interviews/indian-market-offers-opportunity-of-innovation-for-nescafe-nestle-official-123052301156_1.html
2023-06-05,Nestle India Ltd Share Price : Nestle India Stock Price Live NSE / BSE on 05 - 06 - 2023,gdelt:indiainfoline.com,https://www.indiainfoline.com/company/nestle-india-share-price/175
2023-06-14,Nestle India faces El Nino challenge,gdelt:moneycontrol.com,https://www.moneycontrol.com/news/opinion/nestle-india-faces-el-nino-challenge-10795231.html
2023-06-14,"Nestle India , Axis Bank , M & M : How should you trade these buzzing stocks ?",gdelt:businesstoday.in,https://www.businesstoday.in/markets/company-stock/story/nestle-india-axis-bank-mm-how-should-you-trade-these-buzzing-stocks-385478-2023-06-14
2023-07-14,Nestle India Ltd gets in principle approval from IPICOL for food processing unit at Mundaamba,gdelt:equitybulls.com,https://www.equitybulls.com/category.php?id=334829
2023-08-31,Premiumisation and rural play both are important for us : Nestle India,gdelt:financialexpress.com,https://www.financialexpress.com/business/industry-premiumisation-and-rural-play-both-are-important-for-us-nestle-india-3229058/
2023-08-31,"Food inflation remains a cause for concern , need to see impact of shortfall in monsoon : Nestle India Suresh Narayanan",gdelt:thehindubusinessline.com,https://www.thehindubusinessline.com/economy/food-inflation-remains-a-cause-for-concern-need-to-see-impact-of-shortfall-in-monsoon-nestle-indias-suresh-narayanan/article67255926.ece
2023-09-27,UBS downgrades Nestle India to Neutral ; Stocks trade lower,gdelt:moneycontrol.com,https://www.moneycontrol.com/news/business/stocks/ubs-downgrades-nestle-india-to-neutral-stocks-trade-lower-11435321.html
2023-09-28,"Food inflation basket a matter of concern , says Nestle India CMD Suresh Narayanan",gdelt:economictimes.indiatimes.com,https://economictimes.indiatimes.com/industry/cons-products/food/food-inflation-basket-a-matter-of-concern-says-nestle-india-cmd-suresh-narayanan/articleshow/104026822.cms
2023-10-04,"Nestle India : पहले स्टॉक स्प्लिट की उम्मीद में बढ़ी खरीद , 3 % तक उछला शेयर",gdelt:hindi.moneycontrol.com,https://hindi.moneycontrol.com/news/markets/nestle-india-stock-rises-3-percent-on-the-news-of-first-ever-stock-split-proposal-nestle-india-second-interim-dividend-1524001.html
2023-10-04,"Nestle India Shares Rise 4 % On Stock Split , Interim Dividend Plan ; Know Details",gdelt:news18.com,https://www.news18.com/business/nestle-india-shares-rise-4-on-stock-split-interim-dividend-plan-know-details-8602362.html
2023-10-07,"பங்கு பிரித்தல் , இடைக்கால டிவிடெண்ட் .. நெஸ்லே இந்தியாவில் நடப்பதென்ன .. பங்கு விலை ? | Stock Split , Interim Dividend ; What Happening in Nestle India",gdelt:vikatan.com,https://www.vikatan.com/business/companies/stock-split-interim-dividend-whats-happening-in-nestle-india
2023-10-19,Nestle India net profit surges 37 . 28 % at Rs 908 crore in Q3 : Best Media Info,gdelt:bestmediainfo.com,https://bestmediainfo.com/2023/10/nestle-india-s-net-profit-surges-37-28-at-rs-908-crore-in-q3
2023-10-19,"Nestle India Q3 Results : Net Profit Jumps 37 % to Rs 908 Crore , Net Sales Rise 9 . 43 %",gdelt:news18.com,https://www.news18.com/business/nestle-india-q3-results-net-profit-jumps-37-to-rs-908-crore-net-sales-rise-9-43-8624671.html
2023-10-19,"Nestle India Q3 net profit climbs 37 % to Rs 908 crore , net sales rise 9 . 4 % to Rs 5 , 009 crore",gdelt:indianexpress.com,https://indianexpress.com/article/business/companies/nestle-india-q3-results-net-profit-climbs-net-sales-rise-8990318/
2023-10-19,"Nestle India Shares will be divided into 10 pieces profit of rs 908 crore in Q2 - 10 टुकड़ों में बंट जाएगा दिग्गज कंपनी का शेयर , Q2 में हुआ ₹908 करोड़ का प्रॉफिट , निवेशक खुशी से झूमें , बिजनेस न्यूज",gdelt:livehindustan.com,https://www.livehindustan.com/business/story-nestle-india-shares-will-be-divided-into-10-pieces-profit-of-rs-908-crore-in-q2-8869401.html
2023-10-19,Nestle India Reports Financial Performance With 9 . 4 % Total Sales Growth And ₹908 . 1 Cr Net Profit,gdelt:freepressjournal.in,https://www.freepressjournal.in/business/nestle-india-reports-financial-performance-with-94-total-sales-growth-and-9081-cr-net-profit
2023-10-19,nestle india stock split : Nestle India board approves stock split in the ratio of 1 : 10,gdelt:economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/nestle-india-board-approves-stock-split-in-the-ratio-of-110/articleshow/104544848.cms
2023-10-19,"Nestle India business beats view on price hikes , strong domestic demand",gdelt:marketscreener.com,https://www.marketscreener.com/quote/stock/NESTLE-S-A-9365334/news/Nestle-s-India-business-beats-view-on-price-hikes-strong-domestic-demand-45097730/
2023-10-19,"nestle : Nestle India Q3 : Nestle India Q3 inferred volume growth , per analysts , is 3 - 4 % Vs estimates of 5 %",gdelt:economictimes.indiatimes.com,https://economictimes.indiatimes.com/industry/cons-products/fmcg/nestle-india-q3-domestic-sales-grows-double-digit-co-crosses-turnover-of-rs-5000-cr/articleshow/104544681.cms
2023-10-19,"Q2 results today : HUL , ITC to Nestle India 32 companies to declare earnings on Thursday",gdelt:livemint.com,https://www.livemint.com/companies/company-results/q2-results-today-hul-itc-to-nestle-india-32-companies-to-declare-earnings-on-thursday-11697687598771.html
2023-10-23,"Nestle India beats earnings estimates on price hikes , demand",gdelt:thecattlesite.com,https://www.thecattlesite.com/news/nestle-india-beats-earnings-estimates-on-price-hikes-demand
2023-10-25,Inorganic growth opportunities remain an area of interest : Nestle India CMD,gdelt:thehindubusinessline.com,https://www.thehindubusinessline.com/companies/inorganic-growth-opportunities-remain-an-area-of-interest-nestle-india-cmd/article67458669.ece
2023-10-25,Nestle keen on acquisitions ; moving fast to mitigate local competitors : Nestle India MD,gdelt:economictimes.indiatimes.com,https://economictimes.indiatimes.com/industry/cons-products/fmcg/nestle-keen-on-acquisitions-moving-fast-to-mitigate-local-competitors-nestle-india-md/articleshow/104703947.cms
2023-10-26,"Nestle India stays keen on acquisitions , valuations key , Retail News , ET Retail",gdelt:retail.economictimes.indiatimes.com,https://retail.economictimes.indiatimes.com/news/food-entertainment/personal-care-pet-supplies-liquor/nestle-india-stays-keen-on-acquisitions-valuations-key/104713506
2023-10-26,"Nestle India rural play : Teaching customers to drink coffee , augmenting distribution",gdelt:moneycontrol.com,https://www.moneycontrol.com/news/business/markets/nestle-indias-rural-play-teaching-customers-to-drink-coffee-augmenting-distribution-11599511.html
2023-11-14,Nestle India puts millets at the centre of new product innovation efforts,gdelt:foodnavigator-asia.com,https://www.foodnavigator-asia.com/Article/2023/11/14/nestle-india-puts-millets-at-the-centre-of-new-product-innovation-efforts
2023-11-20,TAM report : Britannia Industries and Nestle India entered the top 10 list during Jul - Sept 23,gdelt:indiantelevision.com,https://indiantelevision.com/mam/marketing/brands/tam-report:-britannia-industries-and-nestle-india-entered-the-top-10-list-during-jul-sept%E2%80%9923-231120
2023-12-01,"India Focus : Hindustan Unilever India , Nestle India millet innovation , FSSAI food safety platform and more",gdelt:foodnavigator-asia.com,https://www.foodnavigator-asia.com/Article/2023/12/01/india-focus-hindustan-unilever-india-nestle-india-millet-innovation-fssai-food-safety-platform-and-more
2023-12-15,"Hot Stocks : Brokerage views on Arvind , Colgate , Nestle India and Ugro Capital",gdelt:economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/hot-stocks-brokerage-views-on-arvind-colgate-nestle-india-and-ugro-capital/articleshow/106009289.cms
