date,headline,source,url
2017-07-19,TATASTEEL Stock Price and Chart — NSE:TATASTEEL - TradingView,google_rss,https://news.google.com/rss/articles/CBMiX0FVX3lxTE5ERURodjZCQlVwcDhsWm5RM2I4VUhObnRmZjA2cDU2aVNPY2VCSUotc3JfN3lvX0kxQnFDVjhhTEhncWF2RUtadGRIdVUtbDJGWjFKQWVkY2U2VElYNVhr?oc=5
2018-02-07,Tata Steel share prices fell to Rs 660.55 on BSE - The Times of India,google_rss,https://news.google.com/rss/articles/CBMiswFBVV95cUxNTjY1VkhfVWw1eEJoMXNiQXUtYnYybF9yVFp2VlVLWnJrSEdOQ0FxZDlkQzE5NHRxNFllaG5sMmFvMXhXbkt4N1dfc1Y1WHZHbUhXNUhhSU53dFRBdkhNV0hRUE96T1hmQ2F6NE5YbWZ4RWdnbmp2WTlUb3ZhY1dKbTlHcGllc0ZtMWozQm5xT1lDWU1pUnFSQlpNQ3FDWk94TVlxUFhOSUp5UDRqTW9GQjlyVQ?oc=5
2018-06-09,UN GCNI's 'Innovative Practices Award 2018' conferred on Tata Steel - Tata Steel,google_rss,https://news.google.com/rss/articles/CBMizAFBVV95cUxOdnN1YXhrZERMcEtlUy16U3JQT0tfZ0Z3VXlzcDRHRXREMDhNQkZEMnZRUW9FREY1d1JRVlhKeERlNjRPaVJ2TGxRcHY5UlhiYkhpOTNXMzJZTGFnR21xYWRtUlBtSUxCT3N3ZkR2blM2NF85Vm92WXJpSEJEeElhSnV6aW9oTVZhN3psZ3kzVWNmaURKYmlXLThEMkpWNWlnX2VoeFdYVUZVeEVWekV6TFJBRk5WNjNlZmc5SGNza0Q5dmpoWldnRjFqNFk?oc=5
2020-05-20,Critical question for Tata Steel in Indian Steel Association’s change of guard - Moneycontrol.com,google_rss,https://news.google.com/rss/articles/CBMivgFBVV95cUxQU0ZQS1FCOThCSGhRa3RKQVBIaEtVd25DTXBfTy03eFZhcmdoN21tUjZlMG9IaVkwMFphMUc3QzktUzg2bldmcExYUUk3aThIYlZuOFBXSmwta3BLQmtvRzFWQ3dKaUJoVWJ2R0lzejZTNnlKT3k0RzVuTDAwVS1fM2ttNlY0SDE4WHg4MHJrMC1tWjhPYnp4djFhWHk4NmRvSy1JTjFvX3Rjc00wOWpGcWpKVDdBMy13cXhMT0Vn0gHDAUFVX3lxTFBxd0kzaV96VGtPUWpXemNFUWF2QkdydnlJSXRrVURid20teXVJbGNtejNyOENBMURQUi1CV255SDRtSnA4UEtlS1UzdHFTWUQ4Q0JrUmVlVzBlSVU0ME5rZ09kRTFXMjFXNVpNNkZWd0hTV01VbnhBRWR5QnV4TWF6MEo3Z3pIYkQ0T3hONUpUNlUtNUMtclZkTGdOb1UzSEg1NGcwUkJlNlc3ZDctdFF1T2l5QlFIa3E0SzZSYjJTRWlYaw?oc=5
2020-08-25,TATASTEEL1! Charts and Quotes - TradingView,google_rss,https://news.google.com/rss/articles/CBMiYkFVX3lxTE5iZjduWk9NRUdTVTlhN2ozWlpoOU92UG4zd1F6UDhTbW8wREVKN0ZvcjlCOUQ0Nm5ISXJWQUhkeVFNcFJiTjQ3RlFoOHVRZzBWTHV5Ul9hX3R6VFdPR0dhNVB3?oc=5
2022-03-25,Tata Steel Ltd. Share Price Today | Tata Steel Live NSE/BSE - Value Research,google_rss,https://news.google.com/rss/articles/CBMickFVX3lxTE04SFNVWV9BSy1BT0daX0ItS0hVSFNFTDdSeDhpSlpzcEIyZUxPTXNvTjhmbC1IVkRERnVwdC1UNXdRU1NvVjdiZUxNMTFrUmR5YW93X1dLZXhFUjZLNDFoWFIxYXpkbmtmSGVRTXVhT2tidw?oc=5
2023-05-02,"Tata Steel Q4 Results : शुद्ध मुनाफा 84 % घटा , फिर भी उम्मीदों से बेहतर रहा कंपनी का नतीजा",gdelt:hindi.moneycontrol.com,https://hindi.moneycontrol.com/news/company/company-results/tata-steel-q4-results-consolidated-net-profits-decline-11-per-cent-to-rs-763-crore-revenue-flats-1217701.html
2023-05-02,"Tata Steel Jan - Mar net profit falls 84 pc to Rs 1 , 566 . 24 crore",gdelt:theweek.in,https://www.theweek.in/news/biz-tech/2023/05/02/tata-steel-jan-mar-net-profit-falls-84-pc-to-rs-1566-crore-buy-sell-share-stock-what-to-do.html
2023-05-02,"Tata Steel January - March Net Profit Falls 84 % To Rs 1 , 566 Crore",gdelt:ndtv.com,https://www.ndtv.com/business/tata-steel-january-march-net-profit-falls-84-to-rs-1-566-crore-3998764
2023-05-02,"Tata Steel Q4 net profit drops 84 % to Rs 1 , 566 crore but beats estimates",gdelt:moneycontrol.com,https://www.moneycontrol.com/news/business/earnings/tata-steel-q4-net-profit-drops-84-to-rs-1566-crore-beats-estimates-10515271.html
