date,headline,source,url
2021-03-27,Titan Company Limited Financial Statements – NSE:TITAN - TradingView,google_rss,https://news.google.com/rss/articles/CBMidEFVX3lxTE9TemZ2RnpSMVVQVFNpMkhmcHRmbmtTdU53S18yMlN3SDc4MkUxeWlKcHVUMzJOOTM2TWlJNldqaVdDd3B3Ukh0Y0xvbjlxb21SQ3BIdkpzVUxRSTIyZjB1TzlfMzQyand0RE5UMUV0NTFkVzJQ?oc=5
2022-01-21,TITAN COMPANY LIMITED Share Price Today - Live TITAN Stock Price for NSE/BSE - Upstox,google_rss,https://news.google.com/rss/articles/CBMibEFVX3lxTFBLaEdJb1pERXM5Z3lpRHpvd0FueUNpN2V0VGsxc2p6bkhJVmpaaEFHUklFc1dOSUJiMkVBd1RkcmVXQW03aThSdktIMjgwaGtPUGRrWGJDMVN6c0tldTlSc09USm1sRjR0dFE1Ng?oc=5
2023-04-20,Tanishq has launched a stunning collection of earrings - Stunning Every Ear,gdelt:equitybulls.com,https://www.equitybulls.com/category.php?id=330272
2023-04-20,Celebrate Akshaya Tritiya with Tanishq Stunning Every Ear Collection,gdelt:business-standard.com,https://www.business-standard.com/content/press-releases-ani/celebrate-akshaya-tritiya-with-tanishq-s-stunning-every-ear-collection-123042000835_1.html
2023-04-20,Celebrate Akshaya Tritiya with Tanishq Stunning Every Ear Collection,gdelt:aninews.in,https://aninews.in/news/business/business/celebrate-akshaya-tritiya-with-tanishqs-stunning-every-ear-collection20230420163416/
2023-05-03,Titan Company net profit rises 40 pc to Rs 736 crore in March quarter,gdelt:indianexpress.com,https://indianexpress.com/article/business/titan-company-profit-rises-march-quarter-8590096/
2023-05-04,"Titan Company , Adani Enterprises , Tata Chemicals , HDFC among stocks to watch out for today",gdelt:businesstoday.in,https://www.businesstoday.in/markets/stocks/story/titan-company-adani-enterprises-tata-chemicals-hdfc-among-stocks-to-watch-out-for-today-379950-2023-05-04
2023-05-20,Tanishq free seminar for all would - be brides of city,gdelt:thehitavada.com,https://www.thehitavada.com/Encyc/2023/5/20/Tanishq-s-free-seminar-for-all-would-be-brides-of-city.html
2023-05-25,Tanishq to boost sales via gold exchange,gdelt:livemint.com,https://www.livemint.com/companies/news/tanishqs-gold-exchange-program-boosts-sales-amid-volatile-prices-aims-for-45-contribution-to-overall-sales-11685036127525.html
2023-05-29,"Titan Company Ltd Share Price Today , TITAN Share Price NSE , BSE",gdelt:businesstoday.in,https://www.businesstoday.in/stocks/titan-company-ltd-titan-share-price-361924
